name,cap_mw,none,latitude,longitude
SHOLAYAR I&II,95,1,10.3575,76.879
SINGUR,15,1,18.6609,78.0876
SIVASAMUNDRUM,42,1,12.3082,77.165
SRINAGAR,330,1,30.2313,78.7924
SRISAILAM,770,1,16.0869,78.9007
SRISAILAM LBPH,900,1,16.0929,78.9118
STAKNA,4,1,33.9594,77.7142
SUBERNREKHA I&II,130,1,23.457,85.555
SURULIYAR,35,1,9.62,77.2726
SURYA,6,1,19.9214,73.0575
T.B. DAM,36,1,15.2615,76.3379
TANAKPUR,94.2,1,29.0057,80.0946
TASHIDING,97,1,27.3403,88.2332
TAWA,13.5,1,22.5616,77.9635
TEESTA  I-III,67.5,1,26.4875,88.3155
TEESTA LOW DAM -IV,160,1,26.9279,88.4562
TEESTA LOW DAM-III,132,1,27.0017,88.443
TEESTA -V,510,1,27.2517,88.4604
TEESTA-III,1200,1,27.5981,88.6505
TEHRI ST -1,1000,1,30.3787,78.4795
THIROT,4.5,1,32.659,76.7817
TILLARI,60,1,15.8094,74.1588
TILLAYA,4,1,24.3249,85.5198
TUIRIAL,60,1,24.3588,92.8837
U.B.D.C. ST.-I& II,91.35,1,32.3367,75.5819
U.ROGNICHU,8,1,27.2614,88.5572
UJJAINI,12,1,18.0723,75.1197
UKAI LBC,5,1,21.2323,73.5917
UKAI_Hydro,300,1,21.2478,73.5866
UMIAM I II &IV,96,1,25.6593,91.9003
UMTRU (NEW),11.2,1,26.0069,91.8114
UPPAR INDRAVATI,600,1,19.4269,82.8594
UPPER KOLAB,320,1,18.8315,82.5934
UPPER SILERU I&II,240,1,18.0313,82.0179
UPPER SINDH I& II,127.6,1,34.198,75.1245
URI,480,1,34.1442,74.1857
URI -II,240,1,34.0921,74.0318
URUMI,3.75,1,11.3727,76.0584
VAIGAI DAM,13.5,1,10.0537,77.5905
VAITARNA,60,1,19.7674,73.502
VARAHI,460,1,13.6576,74.9484
VIR,9,1,18.121,74.0968
VISHNU PRAYAG,400,1,30.5669,79.5468
WARNA,16,1,17.1401,73.866
WY.CANAL A -D,62.4,1,30.3033,77.5684
